1,1,29,30,31,32
1,2,25,26,27,28
1,3,21,22,23,24
1,4,17,18,19,20
1,5,13,14,15,16
1,6,9,10,11,12
1,7,5,6,7,8
1,8,1,2,3,4
2,1,7,12,16,23
2,2,2,13,19,32
2,3,1,11,17,31
2,4,3,5,10,15
2,5,6,20,21,25
2,6,4,8,24,27
2,7,9,14,26,29
2,8,18,22,28,30
3,1,8,14,17,25
3,2,5,11,24,29
3,3,4,7,19,28
3,4,1,9,13,21
3,5,18,23,26,31
3,6,3,6,22,32
3,7,2,10,16,30
3,8,12,15,20,27
4,1,2,6,11,28
4,2,1,7,10,22
4,3,8,13,20,29
4,4,12,14,24,31
4,5,3,19,27,30
4,6,5,16,17,26
4,7,4,15,18,21
4,8,9,23,25,32
5,1,4,9,20,22
5,2,3,16,21,31
5,3,6,14,18,27
5,4,7,11,25,30
5,5,1,5,12,32
5,6,2,15,23,29
5,7,13,17,24,28
5,8,8,10,19,26
