1,1,1,2,3,4
1,2,5,6,7,8
1,3,9,10,11,12
1,4,13,14,15,16
1,5,17,18,19,20
1,6,21,22,23,24
1,7,25,26,27,28
1,8,29,30,31,32
2,1,1,5,9,13
2,2,2,6,10,14
2,3,3,7,11,15
2,4,4,8,12,16
2,5,17,21,25,29
2,6,18,22,26,30
2,7,19,23,27,31
2,8,20,24,28,32
3,1,1,6,11,16
3,2,2,5,12,15
3,3,3,8,9,14
3,4,4,7,10,13
3,5,17,22,27,32
3,6,18,21,28,31
3,7,19,24,25,30
3,8,20,23,26,29
4,1,1,7,17,23
4,2,2,8,18,24
4,3,3,5,19,21
4,4,4,6,20,22
4,5,9,15,25,31
4,6,10,16,26,32
4,7,11,13,27,29
4,8,12,14,28,30
5,1,1,8,19,22
5,2,2,7,20,21
5,3,3,6,17,24
5,4,4,5,18,23
5,5,9,16,27,30
5,6,10,15,28,29
5,7,11,14,25,32
5,8,12,13,26,31
6,1,1,10,18,25
6,2,2,9,17,26
6,3,3,12,20,27
6,4,4,11,19,28
6,5,5,14,22,29
6,6,6,13,21,30
6,7,7,16,24,31
6,8,8,15,23,32
7,1,1,12,21,32
7,2,2,11,22,31
7,3,3,10,23,30
7,4,4,9,24,29
7,5,5,16,17,28
7,6,6,15,18,27
7,7,7,14,19,26
7,8,8,13,20,25
8,1,1,14,20,31
8,2,2,13,19,32
8,3,3,16,18,29
8,4,4,15,17,30
8,5,5,10,24,27
8,6,6,9,23,28
8,7,7,12,22,25
8,8,8,11,21,26
9,1,1,15,24,26
9,2,2,16,23,25
9,3,3,13,22,28
9,4,4,14,21,27
9,5,5,11,20,30
9,6,6,12,19,29
9,7,7,9,18,32
9,8,8,10,17,31
