1,1,29,30,31,32
1,2,25,26,27,28
1,3,21,22,23,24
1,4,17,18,19,20
1,5,13,14,15,16
1,6,9,10,11,12
1,7,5,6,7,8
1,8,1,2,3,4
2,1,3,7,26,32
2,2,2,16,19,30
2,3,12,23,28,31
2,4,6,11,15,17
2,5,4,8,10,20
2,6,1,9,21,29
2,7,14,18,22,25
2,8,5,13,24,27
3,1,1,8,16,26
3,2,7,17,24,29
3,3,4,14,19,27
3,4,5,11,18,31
3,5,2,9,20,22
3,6,3,15,23,30
3,7,12,13,21,25
3,8,6,10,28,32
4,1,18,23,27,32
4,2,4,12,15,22
4,3,13,20,28,30
4,4,2,8,14,29
4,5,1,7,11,25
4,6,6,21,26,31
4,7,3,9,19,24
4,8,5,10,16,17
5,1,7,16,18,21
5,2,3,8,11,28
5,3,1,5,12,14
5,4,9,13,23,26
5,5,4,6,24,30
5,6,2,17,25,32
5,7,15,20,27,31
5,8,10,19,22,29
6,1,1,6,13,19
6,2,2,7,10,23
6,3,11,16,27,29
6,4,4,5,21,28
6,5,3,17,22,31
6,6,14,20,24,32
6,7,12,18,26,30
6,8,8,9,15,25
7,1,9,14,17,28
7,2,3,12,20,29
7,3,2,5,15,26
7,4,6,16,23,25
7,5,11,19,21,32
7,6,8,22,27,30
7,7,1,10,18,24
7,8,4,7,13,31
