1,1,29,30,31,32
1,2,25,26,27,28
1,3,21,22,23,24
1,4,17,18,19,20
1,5,13,14,15,16
1,6,9,10,11,12
1,7,5,6,7,8
1,8,1,2,3,4
2,1,3,10,19,24
2,2,5,9,17,21
2,3,4,7,18,23
2,4,16,22,25,30
2,5,2,11,14,29
2,6,13,20,27,31
2,7,1,8,15,26
2,8,6,12,28,32
3,1,1,16,18,28
3,2,7,10,13,29
3,3,6,15,17,30
3,4,2,9,27,32
3,5,3,12,20,22
3,6,4,8,19,21
3,7,14,24,26,31
3,8,5,11,23,25
4,1,4,13,17,22
4,2,6,14,19,27
4,3,2,12,25,31
4,4,7,15,21,28
4,5,1,11,24,32
4,6,5,18,26,29
4,7,10,16,20,23
4,8,3,8,9,30
5,1,2,6,20,26
5,2,4,5,16,24
5,3,3,11,13,28
5,4,8,12,23,29
5,5,1,14,21,30
5,6,7,17,25,32
5,7,9,19,22,31
5,8,10,15,18,27
6,1,8,11,17,27
6,2,3,15,23,31
6,3,16,19,26,32
6,4,1,5,10,22
6,5,4,6,25,29
6,6,2,24,28,30
6,7,12,13,18,21
6,8,7,9,14,20
